Player,Rating,ACS,Kills,Deaths,Assists,+/-,KAST,ADR,HS%,FK,FD,FK-Diff,Rounds
zander,0.75,152,28,42,29,-14,74%,95,23%,3,1,+2,54
Boostio,0.66,145,26,40,9,-14,59%,100,30%,4,5,-1,54
s0m,1.43,223,49,24,24,+25,82%,160,34%,6,4,+2,55
mada,1.33,276,52,33,12,+19,69%,169,27%,15,10,+5,55
Ethan,1.25,199,35,26,23,+9,82%,123,21%,7,4,+3,55
brawk,1.18,163,35,26,22,+9,82%,107,21%,2,0,+2,55
FiNESSE,0.97,167,32,34,21,-2,78%,119,22%,5,2,+3,55
pryze,0.98,158,30,35,4,-5,55%,112,30%,3,3,0,55
Khalil,0.85,163,30,40,16,-10,65%,107,25%,3,2,+1,55
heat,0.63,139,30,41,7,-11,64%,98,42%,6,6,0,55
havoc,0.63,154,31,47,7,-16,56%,105,38%,8,14,-6,55
raafa,0.60,113,22,40,17,-18,65%,71,31%,0,10,-10,55
zekken,1.19,276,37,30,8,+7,73%,179,32%,13,9,+4,41
johnqt,1.10,184,27,26,23,+1,83%,117,24%,0,1,-1,41
bang,0.91,185,28,30,16,-2,66%,123,34%,3,5,-2,41
N4RRATE,0.91,179,20,30,16,-10,76%,137,17%,1,1,0,41
Zellsis,0.52,114,16,30,4,-14,49%,80,23%,1,7,-6,41
keznit,1.44,280,42,27,11,+15,76%,157,24%,13,6,+7,41
Mazino,1.38,253,40,26,12,+14,73%,162,29%,1,2,-1,41
Shyy,1.20,171,28,18,8,+10,76%,128,20%,2,2,0,41
Melser,0.88,168,22,29,19,-7,66%,112,25%,5,6,-1,41
adverso,0.59,103,14,28,12,-14,61%,78,17%,2,2,0,41
Cryocells,1.75,344,54,26,9,+28,81%,218,32%,7,0,+7,43
eeiu,1.43,244,40,23,12,+17,86%,167,36%,3,0,+3,43
zander,0.83,155,24,31,20,-7,72%,103,23%,5,5,0,43
Boostio,0.75,153,24,32,10,-8,63%,101,34%,2,3,-1,43
Asuna,0.66,149,22,33,9,-11,60%,97,25%,8,10,-2,43
Derrek,1.13,224,34,29,12,+5,77%,153,34%,1,2,-1,43
NaturE,1.05,212,31,32,24,-1,79%,131,26%,2,1,+1,43
yay,0.91,195,29,33,3,-4,56%,125,33%,5,5,0,43
supamen,0.90,176,25,33,21,-8,67%,121,28%,6,7,-1,43
icy,0.69,179,26,37,6,-11,70%,126,32%,4,10,-6,43
leaf,1.25,248,58,49,25,+9,82%,171,24%,6,5,+1,71
